Year,Make,Model,Styling,Acceleration,Handling,Fun Factor,Cool Factor,Features,Comfort,Quality,Practicality,Value
1985,Ferrari,Testarossa,8,5,7,8,8,2,2,4,2,7
1989,Lamborghini,Countach,9,6,6,7,9,2,2,3,2,7
2007,Bentley,Azure,6,3,4,5,7,4,9,6,4,5
2017,Ford,Fiesta ST,6,2,6,6,5,4,5,5,6,8
2020,Mercedes - Benz,CLA 250,6,3,4,3,4,8,7,7,5,6
2017,Mercedes-Benz,G550 4x4 Squared,7,4,3,5,7,6,6,5,6,4
2008,Maybach,57S,4,6,4,4,6,5,9,6,5,4
2022,Lexus,NX350h,5,2,4,2,2,8,7,8,7,7
2003,BMW,760Li,4,5,4,4,4,6,7,7,5,6
2018,Subaru,BRZ tS,6,3,7,6,5,5,5,6,3,6
2021,Mazda,CX-30 Turbo,6,4,4,4,3,6,6,6,7,6
1992,Dodge,Viper RT/10,7,6,6,7,7,2,2,4,2,9
2007,Pontiac,Solstice GXP,6,5,7,7,5,3,4,6,2,7
1991,BMW,M5 (E34),7,3,5,5,6,3,5,6,5,7
1992,Mercedes-Benz,500E,6,4,4,4,6,3,6,8,5,6
2019,Mini,Countryman S JCW,6,3,5,3,4,6,6,7,7,5
2006,Mercedes-Benz,CL65 AMG,5,6,5,5,5,4,7,5,4,6
1994,Mazda,RX-7,10,6,6,6,6,2,3,4,3,6
1997,Dodge,Viper GTS,7,7,6,7,6,2,3,4,3,7
2017,Fiat,124 Spider Abarth,6,3,7,6,5,5,5,6,2,7
2022,Kia,Carnival SX Prestige,5,1,3,1,1,8,7,7,10,8
2021,Mazda,Mazda3 Turbo Hatchback,4,4,5,4,3,6,5,7,6,7
2020,Kia,Soul 1.6T,6,3,3,3,3,6,5,7,8,7
2021,Chevrolet,Tahoe High Country,5,3,3,1,3,7,7,7,9,6
1988,BMW,M3 (E30),7,2,6,6,7,3,4,6,4,6
1997,Toyota,Century V12,4,1,3,4,6,6,8,8,5,6
2018,Polaris ,Slingshot,6,5,7,9,6,2,2,6,1,7
2020,Mercedes-Benz,GLB250,5,2,4,2,3,6,7,7,8,7
2019,Audi,Q3,6,2,4,2,3,7,7,6,7,7
2019,Mercedes-Benz,A220,5,2,4,3,4,7,7,7,5,7
1990,Toyota,Century,4,1,2,4,6,5,8,8,5,8
2015,Maserati,Ghibli,6,5,6,4,5,5,6,5,5,4
1993,Mazda,NA Miata,6,1,8,8,5,2,3,6,2,10
1994,TVR,Chimaera 400 HC,6,6,6,7,7,2,3,4,2,7
2004,Volvo,S60 R,6,4,5,5,5,4,5,5,5,6
2020,Kia,Telluride EX,6,1,3,1,2,7,7,7,9,7
2021,Toyota,RAV4 Prime,5,4,3,3,1,6,6,7,8,7
2021,Volkswagen,ID.4,5,1,3,2,4,8,6,6,8,7
2018,Porsche,Cayenne Camera Car,3,1,5,4,8,7,6,7,2,7
2021,Chrysler,Pacifica Pinnacle,5,1,3,1,1,8,7,6,10,8
2021,Toyota,Sienna Platinum,5,1,3,1,1,8,6,7,10,8
2020,GMC,Sierra Harley Davidson,5,4,2,2,4,7,7,6,8,5
2019,Cadillac,XT4,6,1,4,2,3,7,7,6,7,7
2004,Dodge,Ram SRT-10,5,6,3,6,6,3,5,6,4,6
2019,GMC,Sierra Denali,5,4,2,1,4,7,7,6,8,6
2015,Kia,K900,4,5,4,4,3,6,7,7,5,5
2019,Toyota,Tacoma TRD Pro,6,1,3,5,5,5,5,7,6,7
2016,USSV,Rhino GX,5,1,2,6,7,6,5,6,7,4
2020,Suzuki,Jimny,7,1,3,7,7,4,3,6,4,7
2021,Toyota ,Mirai,5,1,4,2,4,7,7,8,5,6
2021,GMC,Yukon Denali Diesel,5,1,3,1,3,7,7,7,9,6
2021,Ford,F-150 King Ranch,5,3,2,1,3,7,7,6,8,7
2020,Toyota,Highlander Platinum,5,1,3,1,1,8,7,8,9,6
2020,Hyundai,Palisade Limited,5,1,3,1,1,7,7,7,9,8
2017,Honda,Odyssey Elite,5,1,3,1,1,8,6,7,9,8
1997,Lexus,LX450 (Land Cruiser),6,1,3,4,5,3,4,7,8,8
2005,Dodge,Neon SRT-4,5,4,5,6,5,3,4,5,5,7
2001,Audi,TT Roadster,8,3,6,6,5,3,4,6,2,6
2010,Toyota,FJ Cruiser,5,1,3,7,4,4,5,7,6,7
2006,Hummer,H1 Alpha,6,1,2,8,7,3,3,7,6,6
2018,Peugeot,3008,5,1,4,2,5,6,6,5,8,7
2019,Dodge,Ram 1500,5,3,2,1,3,7,7,6,8,7
1987,Aston Martin,Lagonda,4,1,5,5,10,3,6,4,5,6
1992,Ferrari,348ts,6,4,6,7,7,2,3,5,2,7
1973,Lamborghini,Espada,4,1,6,6,8,2,6,5,4,7
2022,Honda,Civic Si,5,2,5,5,4,5,5,6,5,6
2022,Hyundai,Tucson Hybird,6,1,3,1,2,7,6,7,8,7
2022,Subaru,Outback Wilderness,4,3,3,2,1,6,7,7,8,7
2022,Nissan,Pathfinder,5,1,3,1,1,7,7,7,9,7
1988,Fiat,Multipla,3,1,4,5,7,3,5,5,9,6
1989,LaForza,LaForza,6,1,3,4,6,3,6,6,7,6
1993,Porsche,968 Clubsport,6,4,5,6,7,2,4,6,3,5
2012,Fisker,Karma,5,4,4,3,6,5,6,5,4,6
2016,Jeep,Wrangler 6x6,6,1,6,6,7,4,4,3,6,5
1990,Bentley,Turbo R,5,2,3,4,5,3,9,6,5,6
2020,Subaru,Outback XT,5,3,3,1,1,6,7,7,8,7
1987,Buick ,Grand National,8,2,4,5,7,2,5,4,4,7
2019,Mazda,Mazda3 Sedan,6,2,5,3,3,6,5,6,5,7
1981,Ferrari,512BB Boxer,8,4,6,6,8,2,2,4,2,6
1971,Maserati,Ghibli SS,8,3,5,6,8,2,5,4,2,5
2020,Ford,Escape Hybrid,5,1,3,1,1,8,6,6,8,8
2006,Citröen,C6,4,1,3,4,6,5,7,6,5,6
2019,Subaru,Ascent,5,1,3,1,1,6,7,7,9,7
2021,Ford,Ranger Tremor,6,2,3,4,4,6,5,6,6,5
2021,Toyota,Venza Limited,5,1,3,1,1,8,7,7,8,6
2022,Chevrolet,Bolt EUV,5,2,3,2,3,8,5,5,7,7
2000,Toyota,4Runner,5,1,3,3,5,3,4,7,8,8
2021,Kia,Sorento SX X-Line,5,1,3,1,1,7,7,7,8,7
2021,Kia,K5 EX,6,1,4,1,1,8,6,7,6,7
2020,Toyota,C-HR,5,1,3,2,3,6,6,7,7,7
1996,Chevrolet,Impala SS,7,1,4,4,6,2,6,5,5,7
2020,GMC,Sierra 3500 Denali,5,1,2,1,4,7,7,6,8,6
1999,Bentley,Limo,4,1,2,4,6,4,10,6,5,5
1999,Mercedes-Benz,G500 Cabriolet,4,1,4,7,7,4,6,6,4,4
2019,Toyota,RAV4,5,1,3,1,1,6,6,7,8,9
2001,Acura,Integra Type-R,5,2,6,6,6,2,4,6,4,6
1990,Mitsubishi,Eclipse GSX,6,2,5,6,6,2,5,5,4,6
2006,Land Rover,Range Rover,6,1,4,3,3,4,7,4,9,6
1996,Rolls-Royce,Silver Spur,4,1,3,4,5,3,10,6,5,6
2003,Mercury,Marauder,6,1,4,5,5,3,6,5,5,6
1992,Suzuki,Cappuccino,6,1,7,6,6,2,3,6,2,7
2022,Ford,Maverick XLT,6,3,3,2,3,5,5,6,6,7
2022,Hyundai,Santa Cruz,5,2,3,2,4,6,6,7,6,5
1990,Mosler,Consulier GTP,4,5,7,7,6,2,3,4,2,6
2014,Volkswagen,XL1,6,1,4,6,7,4,4,6,3,5
2020,Mazda,CX-30,6,1,4,2,2,6,6,6,7,6
1986,Citröen,CX25 Prestige,4,1,3,4,6,4,7,6,5,6
2017,Chevrolet,Bolt,5,3,3,2,3,6,5,5,7,7
2004,Mercedes - Benz,Unimog U500 Crew Cab,6,1,1,6,9,3,4,6,3,7
2000,Honda,S2000 2Fast 2Furious,6,1,7,6,8,3,4,4,1,6
1994,Mercedes-Benz,S500 (W14),5,1,3,2,4,4,7,8,5,7
1987,Mercedes-Benz,190E 2.3-16,5,1,5,5,5,2,5,6,5,7
1991,Mercedes-Benz,560SEL,5,1,2,3,5,3,7,9,5,6
2006,Subaru,Baja Turbo,4,2,5,4,5,3,5,6,6,6
2019,Dodge,Ram 2500 HD,5,1,2,1,3,7,7,6,8,6
2019,Honda,Passport,5,2,3,1,1,7,6,7,9,5
2015,BMW,i3,6,2,4,4,5,5,6,6,6,2
1990,BMW,Z1,6,1,5,8,7,2,3,6,2,6
1993,Jeep,Wrangler Renegade,6,1,4,7,5,2,3,6,4,8
2017,Ford,F-250 Platinum,4,2,2,1,3,6,7,7,8,6
2020,Hyundai,Sonata Limited,4,1,4,1,1,9,6,7,6,7
1993,GMC,Typhoon,6,5,3,4,6,2,4,4,5,6
2019,Kia,Niro EV,5,1,3,1,2,7,5,6,7,8
2022,Nissan,Frontier Pro-4X,6,1,3,4,3,5,5,6,6,6
2020,Chevrolet,Blazer,5,3,3,1,1,6,6,6,8,6
1985,Lamborghini,Jalpa,6,3,5,7,7,2,3,3,2,7
1993,Autozam,AZ-1,5,1,7,6,7,2,2,6,2,7
1993,Alfa Romeo,RZ,4,2,6,6,8,2,4,5,2,6
2019,Suzuki,Swift Boosterjet,6,1,4,3,3,5,5,6,5,7
2001,Toyota,MR2 Spyder,5,1,7,6,4,3,3,7,2,7
2019,Chevrolet,Colorado ZR2,6,1,3,4,5,5,5,5,6,5
1991,Lamborghini,LM002,5,1,4,5,9,3,4,4,4,6
1991,Honda,Beat,6,1,5,5,6,3,3,6,2,7
1985,Audi,5000 Tresser,6,1,3,3,6,3,7,5,5,5
2021,Honda,Ridgeline HPD,5,1,3,2,3,6,6,7,6,5
1997,Toyota,Previa S/C All-Trac,4,1,3,2,4,3,5,6,9,7
2020,Volkswagen,Jetta SEL Premium,5,1,3,1,2,7,6,7,5,7
2009,Chevrolet,HHR SS Panel,4,3,4,4,5,3,5,4,6,6
2013,Mini,Clubvan,5,1,5,3,3,4,5,6,6,6
1992,Subaru,SVX,6,1,5,4,6,2,5,4,4,7
2019,Chevrolet,Silverado Trail Boss,5,2,2,2,3,5,6,5,8,6
2004,Chevrolet,SSR,5,1,4,6,5,3,5,5,4,6
1977,Cadillac,Eldorado,5,1,2,5,6,2,8,5,4,6
2001,Jeep,Cherokee XJ,7,1,3,2,4,2,4,6,7,7
2019,Ford,Ranger,5,2,3,2,3,6,5,5,6,6
1991,BMW,750iL (E32),5,1,3,3,4,3,7,6,5,6
1993,Cadillac,Allante,5,2,4,4,5,3,6,6,2,6
1991,Honda,Civic Si,4,1,4,4,6,2,4,6,6,6
2021,Hyundai,Venue,5,1,3,1,1,6,6,6,7,7
1989,Cadillac,Brougham d'Elegance,5,1,2,3,5,3,7,6,4,7
1991,Toyota,Sera,5,1,3,5,7,2,4,6,3,7
1994,Acura,Legend Coupe,5,1,4,3,4,3,6,7,4,6
1999,Plymouth,Prowler,6,4,5,5,6,2,4,5,1,5
1990,Lexus,LS 400,4,1,3,2,4,3,7,7,5,7
2005,Maserati,Quattroporte,4,5,6,2,5,4,5,3,5,4
1986,Nissan ,Maxima,5,1,3,2,6,3,6,6,5,6
2000,Ford,Excursion V10,4,1,2,1,4,3,5,6,9,7
2004,Ford,Thunderbird,6,3,4,4,3,3,6,5,3,5
1998,Lincoln,Navigator,4,1,2,1,3,3,7,6,8,7
2005,Lincoln,Town Car,4,1,3,1,3,3,8,7,5,7
1987,Pontiac,Fiero GT,5,1,5,6,5,2,5,5,2,6
2002,Hyundai,Equus,4,1,3,2,4,3,7,6,5,7
1990,Mitsubishi,Sigma,4,1,3,2,5,3,6,6,5,6
1996,Chevrolet,Suburban,6,1,2,1,4,2,5,4,9,7
1989,Buick ,Reatta,4,1,4,4,4,4,6,6,2,6
2008,Chevrolet,Tahoe Hybrid,5,1,2,1,2,3,6,6,9,6
2011,Saab,9-5,6,1,4,2,4,4,5,5,5,5
1988,Jaguar,XJS V12,6,1,4,4,5,2,6,3,4,6
2018,Nissan,Titan XD Platinum Reserve,4,1,2,1,3,6,6,6,8,4
2022,Honda,Civic EX Sedan,5,1,3,1,1,6,5,6,5,7
1987,Dodge,Camper Van,3,1,2,1,4,4,5,5,9,6
2002,Lincoln,Blackwood,4,1,2,2,5,3,6,6,5,6
2007,Chrysler,PT Cruiser GT,3,3,3,4,2,3,5,4,7,6
1985,Oldsmobile,Custom Cruiser,4,1,2,2,5,2,5,5,7,7
2017,Land Rover,Evoque Convertible,3,1,4,3,4,6,7,6,3,3
2004,Pontiac,Aztek,2,1,3,1,4,3,5,4,10,7
1991,Subaru,Sambar Van,4,1,2,3,4,3,4,6,6,6
2003,Smart,Crossblade,6,1,3,6,6,2,3,5,1,6
2016,Ford,F-650,5,1,2,4,6,3,4,7,3,4
1996,Oldsmobile,Silhouette,3,1,2,1,4,4,5,4,9,6
2020,Toyota,Corolla Hybrid,4,1,3,1,1,6,5,6,5,7
1973,Rolls-Royce,Silver Shadow,4,1,2,4,5,2,7,4,4,6
1972,Lamborghini,Jarama GT,3,2,5,5,7,2,3,4,2,6
2015,Cadillac,ELR,6,1,4,2,3,5,7,6,3,2
2005,Pontiac,Vibe GT,4,1,3,3,2,3,4,5,7,6
1996,Mitsubishi,Pajero Mini,5,1,3,3,4,2,3,6,5,6
1996,Ford ,Bronco,5,1,2,2,4,2,5,5,5,7
2001,Isuzu,VehiCROSS,3,1,3,3,4,2,4,6,5,7
1994,Ford,Explorer XLT,6,1,2,1,3,2,4,4,8,6
1989,Dodge,Dakota Convertible,4,1,2,3,5,2,4,5,4,7
1988,Volga,GAZ 24-10,3,1,2,3,5,2,6,4,5,6
2016,Los Res,Car,8,1,1,6,8,1,1,3,1,5
1992,Geo ,Metro Convertible,5,1,2,3,4,2,3,5,2,6
2005,Hummer,H2,4,1,2,1,1,3,7,2,9,2
1975,Ferret,Tank,5,1,1,7,6,1,1,2,1,7
2016,Mitsubishi,Mirage,3,1,2,1,1,3,4,3,7,6
2012,Nissan,Murano CrossCabriolet,2,1,3,1,2,4,5,5,4,3
2017,Mercedes-Benz,Metris,3,1,3,1,1,4,6,4,6,1
1988,Yugo,GV,3,1,2,3,6,2,3,1,3,5
1971,Trabant,Trabant,2,1,1,3,7,1,2,1,3,6
1969,BMW,Isetta,4,1,1,5,6,1,1,1,1,4
